행정구,고령인구_총합,고령인구_남자,고령인구_여자,고령인구비율_전체,고령인구비율_남자,고령인구비율_여자,노인복지관 시설수,경로당 수,노인교실 수,노인여가복지시설 총합,지하철역 개수,소방서 수
강남구,86434,38798,47636,15.9,14.9,16.8,6,176,21,203,21,8
강동구,82815,37764,45051,18.0,16.8,19.2,3,139,11,153,14,9
강북구,68473,29489,38984,23.8,21.1,26.2,1,102,18,121,3,6
강서구,101808,44769,57039,18.1,16.6,19.5,5,220,25,250,9,9
관악구,84762,37634,47128,17.6,15.5,19.7,1,115,17,133,4,7
광진구,56461,25257,31204,16.8,15.7,17.9,2,97,8,107,11,6
구로구,78377,35372,43005,20.0,18.4,21.5,2,208,19,229,7,8
금천구,44531,20372,24159,19.6,17.8,21.4,4,77,7,88,1,2
노원구,96309,40914,55395,19.3,17.1,21.4,4,256,15,275,13,7
도봉구,70374,31395,38979,22.9,21.1,24.6,5,137,9,151,3,7
동대문구,66790,29731,37059,19.6,17.8,21.3,1,138,16,155,6,7
동작구,70089,30533,39556,18.5,16.7,20.2,3,147,13,163,12,7
마포구,57504,24166,33338,15.8,14.2,17.2,4,158,14,176,16,8
서대문구,57588,24603,32985,18.8,16.9,20.5,4,119,8,131,5,6
서초구,65541,29649,35892,16.1,15.3,16.8,5,141,6,152,12,8
성동구,49260,21738,27522,17.8,16.2,19.3,6,164,13,183,14,6
성북구,80232,34586,45646,18.9,16.9,20.6,6,183,7,196,9,6
송파구,108643,50027,58616,16.6,15.9,17.2,3,180,19,202,28,8
양천구,76126,34140,41986,17.5,16.0,18.8,4,170,19,193,5,7
영등포구,65843,29804,36039,17.6,16.2,18.9,3,180,24,207,11,8
용산구,39239,17125,22114,18.4,16.7,20.0,2,92,20,114,10,7
은평구,93565,40246,53319,20.0,18.2,21.8,7,163,18,188,13,8
종로구,28500,12857,15643,20.4,19.1,21.7,3,64,10,77,15,8
중구,25525,11292,14233,21.0,19.3,22.7,2,50,3,55,23,8
중랑구,78791,35444,43347,20.6,18.9,22.3,5,133,11,149,8,6
